-able	 V. -ble.
posgrado	Tb. postgrado. 1. m. Ciclo de estudios de especialización posterior a la graduación o licenciatura.
posgraduado	da Tb. postgraduado. 1. adj. Perteneciente o relativo al posgrado. 2. adj. Que cursa estudios de posgrado. U. m. c. s.
posguerra	Tb. postguerra. 1. f. Tiempo inmediato a la terminación de una guerra y durante el cual subsisten las perturbaciones ocasionadas por ella.
posibilidad	Del lat. possibilĭtas, -ātis. 1. f. Aptitud, potencia u ocasión para ser o existir algo. 2. f. Aptitud o facultad para hacer o no hacer algo. 3. f. Medios disponibles, hacienda propia. U. m. en pl. hacer alguien su posibilidad 1. loc. verb. desus. hacer lo posible.
posibilismo	1. m. Tendencia a aprovechar las posibilidades existentes para conseguir los objetivos que se pretenden.
posibilista	1. adj. Perteneciente o relativo al posibilismo. 2. adj. Partidario del posibilismo. Apl. a pers., u. t. c. s.
posibilitación	1. f. Acción de posibilitar.
posibilitador	ra 1. adj. Que posibilita. Condiciones posibilitadoras de una mejora.
posibilitar	 1. tr. Facilitar y hacer posible algo.
posible	Del lat. possibĭlis. 1. adj. Que puede ser o suceder. 2. adj. Que se puede ejecutar. 3. m. Posibilidad, facultad, medios disponibles para hacer algo. 4. m. pl. Bienes, rentas o medios que alguien posee o goza. Mis posibles no alcanzan a eso. U. t. en sing. hacer alguien lo posible, o todo lo posible 1. locs. verbs. No omitir circunstancia ni diligencia alguna para el logro de lo que intenta o le ha sido encargado. no ser posible algo 1. loc. verb. Ser muy grande la dificultad de ejecutarlo, o de conceder lo que se pide.
posiblemente	1. adv. Probablemente, quizá.
posicional	1. adj. Perteneciente o relativo a la posición (‖ postura o modo en que alguien o algo está puesto). 2. adj. Perteneciente o relativo a la posición (‖ situación o disposición). El valor posicional de los signos.
posicionamiento	1. m. Acción y efecto de posicionar.
posicionar	 1. tr. Poner algo o a alguien en una posición. Posicione sus fichas en el tablero. 2. prnl. Tomar una posición respecto de algo o de alguien. Se ha posicionado a favor de la medida.
posición	Del lat. positio, -ōnis. 1. f. Postura, actitud o modo en que alguien o algo está puesto. 2. f. Acción de poner. 3. f. Categoría o condición social de cada persona respecto de las demás. 4. f. Acción y efecto de suponer. 5. f. Situación o disposición. 6. f. Actitud o manera de pensar, obrar o conducirse respecto de algo. 7. f. Der. Estado que en el juicio determinan, para el demandante como para el demandado, las acciones y las excepciones o defensas utilizadas respectivamente. 8. f. Der. Cada una de las preguntas que cualquiera de los litigantes ha de absolver o contestar bajo juramento, ante el juzgador, estando citadas para este acto las otras partes. 9. f. Mil. Punto fortificado o naturalmente ventajoso para los lances de la guerra. falsa posición 1. f. Mat. Suposición que se hace de uno o más números para resolver una cuestión. posición común 1. f. Der. En el derecho europeo, definición por el Consejo de la Unión Europea de criterios sobre un determinado asunto que son vinculantes para todos los Estados miembros. posición militar 1. f. Mil. posición del soldado cuando se cuadra. absolver posiciones 1. loc. verb. Der. Contestarlas. tomar posición 1. loc. verb. tomar partido. absolución de posiciones abuso de posición dominante guerra de posiciones regla de falsa posición
posidonia	Del lat. cient. Posidonia, y este del gr. Ποσειδῶν Poseidôn 'Posidón', dios griego del mar, y el lat. -ia '-ia'; cf. lat. Posidonius 'Posidonio', n. p. de persona. 1. f. Planta acuática de hojas largas y estrechas, de color verde o pardo, propia del Mediterráneo, que forma grandes extensiones submarinas.
posimpresionismo	Tb. postimpresionismo. De pos- e impresionismo. 1. m. Corriente artística surgida a finales del siglo XIX como reacción al impresionismo.
posindustrial	Tb. postindustrial. 1. adj. Perteneciente o relativo al período en el que la gran industria ha sido desplazada como sector predominante por la tecnología avanzada, los servicios, la informática y las actividades financieras y especulativas.
positivado	 1. m. Acción y efecto de positivar.
positivamente	1. adv. De manera positiva.
positivar	 1. tr. Obtener el positivo de una imagen fotográfica. U. t. c. intr.
positividad	1. f. Cualidad de positivo.
positivismo	De positivo e -ismo. 1. m. Tendencia a valorar preferentemente los aspectos materiales de la realidad. 2. m. Afición excesiva a comodidades y goces materiales. 3. m. Actitud práctica. 4. m. Fil. Sistema filosófico que admite únicamente el método experimental y rechaza toda noción a priori y todo concepto universal y absoluto. positivismo lógico 1. m. Fil. neopositivismo.
positivista	1. adj. Perteneciente o relativo al positivismo. 2. adj. Partidario o seguidor del positivismo. Apl. a pers., u. t. c. s.
positivizar	 1. tr. Dar carácter positivo a algo.
positivo	va  Del lat. positīvus. 1. adj. Cierto, efectivo, verdadero y que no ofrece duda. Una obra de positivo mérito. 2. adj. Que implica la existencia o presencia de algo. La prueba de alcoholemia dio resultado positivo. 3. adj. Afirmativo o que expresa afirmación o aceptación. Respuesta positiva a la oferta. 4. adj. Útil, práctico o beneficioso. Resultado positivo para el equipo. 5. adj. Dicho de una persona: Optimista, inclinada a ver el aspecto favorable de las cosas. Es muy positiva en sus juicios. 6. adj. Dicho de una cantidad: Que tiene valor mayor que cero. 7. adj. Dicho de una imagen fotográfica: Reproducida con los claros y oscuros y los colores tal y como se ven en la realidad. U. m. c. s. m. 8. adj. Dicho de una ley o del derecho: Promulgado y vigente, en contraposición principalmente a natural. 9. adj. Fís. Que tiene carga eléctrica de tipo opuesto a la del electrón. de positivo 1. loc. adv. p. us. Ciertamente, sin duda. actos positivos adjetivo positivo discriminación positiva electricidad positiva grado positivo ocular positivo polo positivo prueba positiva punto positivo servidumbre positiva signo positivo teología positiva término positivo
positrón	Del ingl. positron, de positive 'positivo' y la t. de electron 'electrón'. 1. m. Fís. Antipartícula del electrón.
positura	Del lat. positūra. 1. f. postura. 2. f. Estado o disposición de algo.
posliminio	Tb. postliminio. Del lat. postliminium. 1. m. En el derecho romano, reintegración de quien había sido prisionero del enemigo a sus derechos de ciudadano romano.
posma	 1. f. coloq. Pesadez, flema, cachaza. 2. m. y f. coloq. Persona lenta y pesada en su modo de obrar. U. t. c. adj.
posmeridiano	na Tb. postmeridiano. Del lat. postmeridiānus. 1. adj. Perteneciente o relativo a la tarde, o que es después de mediodía. 2. m. Astron. Cada uno de los puntos del paralelo de declinación de un astro, a occidente del meridiano del observador.
posmo	ma  1. adj. coloq. Ven. Dicho especialmente del agua o de la carne: Podrida, hedionda.
posmodernidad	Tb. postmodernidad. 1. f. Movimiento artístico y cultural de fines del siglo XX, caracterizado por su oposición al racionalismo y por su culto predominante de las formas, el individualismo y la falta de compromiso social.
posmodernismo	Tb. postmodernismo. 1. m. Movimiento poético nacido entre el modernismo y las primeras vanguardias, que rechaza el refinamiento modernista y se propone plasmar de forma subjetiva el entorno inmediato y la vida cotidiana. 2. m. Movimiento arquitectónico surgido hacia mediados de 1960, que se opone al funcionalismo y al racionalismo modernos y se caracteriza por el eclecticismo y el gusto por lo kitsch.
posmodernista	Tb. postmodernista. 1. adj. Perteneciente o relativo al posmodernismo. 2. adj. Partidario del posmodernismo. Apl. a pers., u. t. c. s.
posmoderno	na Tb. postmoderno. 1. adj. Perteneciente o relativo a la posmodernidad. 2. adj. Partidario de la posmodernidad. Apl. a pers., u. t. c. s.
posnatal	Tb. postnatal. De pos- y natal. 1. adj. Que existe o tiene lugar después del parto o del nacimiento. 2. m. Chile, Guat., Nic. y Perú. Permiso laboral que se concede a una mujer trabajadora o a su marido para que puedan dedicarse al cuidado de su hijo recién nacido.
posnominal	Tb. postnominal. 1. adj. Gram. Dicho de una palabra: Que se deriva de un sustantivo o de un adjetivo; p. ej., decanato, de decano; amarillear, de amarillo. U. t. c. s. 2. adj. Gram. Que se pospone al nombre.
poso	 De posar^1. 1. m. Sedimento del líquido contenido en una vasija. 2. m. Descanso, quietud, reposo. 3. m. desus. Lugar para descansar o detenerse.
posología	Del gr. πόσον póson 'cuánto', 'qué cantidad' y -logía. 1. f. Med. Parte de la farmacología que trata de las dosis en que deben administrarse los medicamentos. 2. f. Med. Dosificación de un medicamento.
posoperatorio	ria Tb. postoperatorio. 1. adj. Que se produce o aplica después de una operación quirúrgica. U. t. c. s. m. 2. m. Med. curso posoperatorio.
pospago	De pos- y pago^1. 1. m. Ec., Guat. y Nic. Servicio de teléfono celular que se paga a fin de mes.
pospalatal	Tb. postpalatal. De pos- y palatal. 1. adj. Fon. Dicho de una consonante: Que se articula mediante la aproximación o el contacto del posdorso de la lengua y la parte posterior del paladar. U. t. c. s. f.
posparto	Tb. postparto. 1. m. puerperio.
pospelo	a pospelo 1. loc. adv. desus. a contrapelo.
pospierna	1. f. Muslo de las caballerías.
posponer	  Tb. postponer, p. us. Del lat. postponĕre, de post 'después de' y ponĕre 'poner'. Conjug. c. poner; part. irreg. pospuesto. 1. tr. Poner o colocar a alguien o algo después de otra persona o cosa. 2. tr. Dejar de hacer algo momentáneamente, con idea de realizarlo más adelante. U. t. c. prnl. 3. tr. Apreciar a alguien o algo menos que a otra persona o cosa; darle inferior lugar en el juicio y la estimación.
posposición	Tb. postposición, p. us. 1. f. Acción de posponer.
pospositivo	va Tb. postpositivo, p. us. Del lat. postpositīvus. 1. adj. Gram. Que se pospone.
posprandial	Tb. postprandial. 1. adj. Med. Posterior a las comidas.
pospretérito	Tb. postpretérito. De pos- y pretérito. 1. m. Gram. En la terminología de A. Bello, condicional simple.
posproducción	Tb. postproducción. De pos- y producción. 1. f. Fase posterior al rodaje de una película o a la realización de un producto audiovisual o radiofónico, en la que se llevan a cabo las operaciones que le dan su forma definitiva.
pospuesto	ta  1. part. irreg. de posponer.
posromanticismo	Tb. postromanticismo. 1. m. Tendencia artística, especialmente musical, que siguió al Romanticismo y que conservó algunos de sus caracteres.
post	scriptum Loc. lat.; literalmente 'después de lo escrito'. 1. m. posdata.
post-	 V. pos-.
post-it	De Post-it®, marca reg. 1. m. pósit.
posta	Del it. posta. 1. m. Persona que corre y va por la posta a una diligencia, propia o ajena. 2. f. En las armas de fuego, bala pequeña de plomo, mayor que los perdigones. 3. f. Tajada o pedazo de carne, pescado u otra cosa. 4. f. En los juegos de envite, porción de dinero que se envida y pone sobre la mesa. 5. f. Tarjeta grande con un letrero conmemorativo. 6. f. Conjunto de caballerías que se apostaban en los caminos cada dos o tres leguas, para que los tiros, los correos, etc., pudiesen ser relevados. 7. f. Casa o lugar donde estaban las postas. 8. f. Distancia que había de una posta a otra. 9. f. Arq. Dibujo de ornamentación compuesta de líneas curvas en forma de ondas, volutas o eses unidas y que, a semejanza de la greca, se emplea principalmente en frisos y espacios análogos de mucha longitud. posta médica 1. f. Cuba. Dispensario situado en una zona suburbana o rural. a posta V. aposta. a su posta 1. loc. adv. desus. A su propósito, a su voluntad. correr alguien la posta 1. loc. verb. p. us. Caminar con celeridad en caballos a propósito para este ministerio, que están prevenidos a ciertas distancias. También se corre en carruaje. irse un enfermo por la posta 1. loc. verb. coloq. Estar a punto de morir. por la posta 1. loc. adv. Corriendo la posta. 2. loc. adv. coloq. Con prisa, presteza o velocidad. casa de postas corneta de posta legua de posta maestro de postas silla de posta
postación	De un inus. postar 'colocar postes'. 1. f. Chile. Colocación de postes de un cerco o de un tendido eléctrico. 2. f. Chile. Conjunto de postes de un cerco o de un tendido eléctrico.
postaje	1. m. Hond. Pago del impuesto municipal por el derecho a sacar del pueblo ganado vacuno para la venta.
postal	De posta y -al. 1. adj. Concerniente al ramo de correos. Servicio postal. 2. f. Tarjeta postal ilustrada por una de sus caras. apartado postal casilla postal código postal franquía postal giro postal objeto postal paquete postal sello postal tarjeta postal
postar	De posta. 1. tr. desus. apostar^2.
postbalance	 V. posbalance.
postclásico	ca  V. posclásico.
poste	Del lat. postis 'jamba de una puerta'. 1. m. Madero, piedra o columna colocada verticalmente para servir de apoyo o de señal. 2. m. Cada uno de los dos palos verticales de la portería del fútbol y de otros deportes. 3. m. p. us. Mortificación o castigo que en los colegios se da a los colegiales poniéndolos en pie durante algún tiempo en un lugar señalado. 4. m. desus. puntal. asistir al poste un catedrático 1. loc. verb. p. us. En algunas universidades, ponerse, después de bajarse de la cátedra, a esperar por cierto tiempo si a los discípulos se les ofrece alguna dificultad, para resolverla. dar poste 1. loc. verb. Hacer que alguien espere en sitio determinado más del tiempo regular o en que había convenido. llevar poste 1. loc. verb. coloq. Aguardar a alguien que falta a la cita. oler alguien el poste 1. loc. verb. coloq. Prever y evitar el daño que podría sucederle. quedarse al poste un catedrático 1. loc. verb. p. us. asistir al poste. ser alguien un poste 1. loc. verb. coloq. Ser muy lerdo. 2. loc. verb. coloq. Estar muy sordo.
